agecategory,sex,strata,incidence,excess_mortality
0,female,SES1,1.729820134910992,3.4739022807795084
0,female,SES2,1.508345079751191,2.544562944000024
0,female,SES3,1.3152262675718547,1.8638407337483285
0,female,SES4,1.1468331472240654,1.3652255248669825
0,female,SES5,1.0,1.0
0,male,SES1,1.7779018089819874,3.2019721286149285
0,male,SES2,1.5396812777667384,2.3936638473280305
0,male,SES3,1.3333798442236884,1.7894055238025082
0,male,SES4,1.1547206780099195,1.3376866313911149
0,male,SES5,1.0,1.0
15,female,SES1,1.7070443711518166,1.804856113446344
15,female,SES2,1.4934256541741753,1.5571553370997762
15,female,SES3,1.3065390813717808,1.343449334156798
15,female,SES4,1.1430394049951997,1.1590726181550481
15,female,SES5,1.0,1.0
15,male,SES1,1.8019905582195315,0.23215715865234104
15,male,SES2,1.555300756812407,0.33445412744485875
15,male,SES3,1.3423824187687843,0.4818268969789265
15,male,SES4,1.1586122814681297,0.6941375202212645
15,male,SES5,1.0,1.0
30,female,SES1,2.1472100825019806,1.3278461786440854
30,female,SES2,1.7738051167396656,1.236974725686273
30,female,SES3,1.4653361670626917,1.1523220811231922
30,female,SES4,1.210510705059105,1.073462659398636
30,female,SES5,1.0,1.0
30,male,SES1,2.116320334246641,6.7885377411908525
30,male,SES2,1.7546320326433642,4.205640803736495
30,male,SES3,1.454757826666226,2.605482247337497
30,male,SES4,1.2061334199275908,1.614150627214665
30,male,SES5,1.0,1.0
45,female,SES1,1.8844856959368046,2.960271949244591
45,female,SES2,1.6084021093365215,2.2568292786487576
45,female,SES3,1.3727657105044562,1.7205440852371645
45,female,SES4,1.171650848377816,1.3116951190109551
45,female,SES5,1.0,1.0
45,male,SES1,1.951468747081688,1.9551738874898037
45,male,SES2,1.6510917231607825,1.6534422896033922
45,male,SES3,1.39694980120321,1.3982753260677254
45,male,SES4,1.1819263095486157,1.1824869242692393
45,male,SES5,1.0,1.0
60,female,SES1,1.4933516525256922,1.5153268393014505
60,female,SES2,1.3508949094893,1.3657768169161528
60,female,SES3,1.2220276807526467,1.2309861247396132
60,female,SES4,1.1054536085936155,1.1094981409356273
60,female,SES5,1.0,1.0
60,male,SES1,1.5248699063502296,1.5460997365858637
60,male,SES2,1.3722226868486684,1.3865263569099784
60,male,SES3,1.2348562290202976,1.2434225897038642
60,male,SES4,1.1112408510400875,1.1150886017280708
60,male,SES5,1.0,1.0
75,female,SES1,1.3809293287226463,0.708780491645754
75,female,SES2,1.2738802078417213,0.772473903732125
75,female,SES3,1.17512949444844,0.8418910212407269
75,female,SES4,1.0840338991232885,0.9175461956984655
75,female,SES5,1.0,1.0
75,male,SES1,1.3957092782074652,0.7078354458998233
75,male,SES2,1.2840922479880266,0.7717012968488922
75,male,SES3,1.181401404353095,0.8413295703229641
75,male,SES4,1.0869229063521915,0.9172401922740652
75,male,SES5,1.0,1.0
