age,sex,prev,i,f,r,i_apc,f_apc,r_apc
0,female,0.00031070142883493184,0.0,0.0,0.20574323603507055,0.0037344055102027816,-0.008804091897360308,0.01286082681615324
0,male,0.00029965637918160704,0.0,0.0,0.1919907400114601,-0.0010880498892134709,-0.03466163904922731,-0.014291872207811118
1,female,0.0003405789665741989,0.00013527534992176132,0.0009707617247463059,0.13254186015782293,0.00394467086896349,-0.006584971686467099,0.015190892843067374
1,male,0.00032840330191688023,0.00013413817583691343,0.0007563742300574886,0.12257811695152851,-0.0006279688527546191,-0.032196650644218505,-0.012965033087095682
2,female,0.0003585054892177591,0.00013683532434796564,0.0009234796328169884,0.08540848885760874,0.004154963908963501,-0.004360450622892129,0.017527020554891963
2,male,0.0003456514555580442,0.00013539885439194902,0.0007224483793297887,0.07826848281890145,-0.00016786371232195996,-0.02972668887431414,-0.011633168526199559
3,female,0.0005597920597169999,0.00013920791691355474,0.0006971141820432428,0.05505104663987129,0.0043652846347815915,-0.0021305160374975735,0.019869224890852223
3,male,0.00053992129206376,0.00013757452853765468,0.0005545704417644087,0.04998059229242741,0.00029226553586649863,-0.02725174250734088,-0.010296267264403327
4,female,0.000689372539642,0.0001405404463206615,0.0004895995398077716,0.035493020562261966,0.0045756330510076555,0.000104844768622726,0.02221752082699318
4,male,0.0006651985140048199,0.00013884762293501143,0.00039908956538331134,0.03191946643137944,0.0007524188955439796,-0.024771800285779376,-0.008954318015739454
5,female,0.0008189530195669999,0.00014152511689390936,0.00034718819422524706,0.022889148004898937,0.0047860091622291216,0.002345644524100493,0.024571923376255994
5,male,0.00079047573594588,0.0001398084250026087,0.00029203319464314164,0.020386789546499445,0.0012125963704724884,-0.022286850926657095,-0.007607309468958275
6,female,0.0009485334994920001,0.00014251255900261998,0.00024614707750432083,0.014764617272243158,0.004996412973036991,0.004591895987446821,0.026932447588601475
6,male,0.0009157529578869399,0.00014077251644662884,0.0002158974589446211,0.01302207882394522,0.001672797964414884,-0.019796883121540133,-0.006255230287463175
7,female,0.0010781139794169999,0.00014350747521752247,0.0001787280144468348,0.009526150269113428,0.005206844488009601,0.006843611947143811,0.029299108551075013
7,male,0.001041030179828,0.00014174909308187745,0.00016417928868633867,0.00831858301732504,0.002133023681120171,-0.017301885536455994,-0.004898069109243723
8,female,0.0012234472013721999,0.0001445248546230012,0.00015713408099751297,0.006147694025303174,0.005417303711754153,0.009100805221608632,0.0316719213878965
8,male,0.0011828289657988,0.00014276637480533437,0.000144221469830065,0.005314412447725882,0.0025932735243449174,-0.014801846811819837,-0.0035358145468472116
9,female,0.0013687804233274,0.00014555221673690917,0.00014764981400612137,0.003968292659919966,0.005627790648839445,0.01136348865935569,0.034050901260557515
9,male,0.0013246277517695998,0.0001437975517642786,0.00013363947816964433,0.003395450115793419,0.003053547497839663,-0.012296755562384468,-0.0021684551873085746
10,female,0.0015141136452825998,0.00014658265972926102,0.00013972580066951037,0.002562057996553551,0.005838305303877553,0.01363167513904643,0.03643606336793759
10,male,0.0014664265377403998,0.0001448323733143021,0.00012494888548164214,0.002169576641410554,0.0035138456053690776,-0.009786600377225571,-0.0007959795920551051
11,female,0.0016594468672378002,0.0001476161836000568,0.00013294612018423021,0.002744914206855028,0.005445042750107103,0.012123631251988605,0.03954984119267262
11,male,0.0016082253237112,0.00014587083945540486,0.00011764266712515323,0.002369896236751128,0.0033830373660169565,-0.011013207612275712,0.0013195670015528488
12,female,0.0018047800891930002,0.00015076088885177249,0.00012877904623917797,0.00294142057062962,0.005051968713048464,0.010617607732002626,0.042673902836727284
12,male,0.001750024109682,0.0001490735249591984,0.00011395028147313685,0.0025889159926615357,0.0032524202004270922,-0.01223759022168316,0.0034440919008350557
13,female,0.0019727665113384,0.0001624389268104881,0.00013185142125163364,0.00315261931799209,0.004659083111272299,0.009113601714117167,0.04580828090812926
13,male,0.0019161375277209998,0.00016100332557701175,0.00012073592238900772,0.002828396400841226,0.003121994024905537,-0.013459751528057985,0.0055776216969115125
14,female,0.0021407529334838,0.00017636668512680017,0.0001355957375643477,0.003379633634582858,0.004266385863372192,0.007611610337494511,0.04895300811829674
14,male,0.00208225094576,0.00017520599912127253,0.0001283567816206009,0.0030902648243003907,0.00299175875577414,-0.014679694848948755,0.007720183059685099
15,female,0.0023087393556292,0.00019042058529392054,0.00013825762773634758,0.003623674026024369,0.0038738768880029802,0.006111630745396042,0.052108117282391
15,male,0.002248364363799,0.00018949272284719324,0.00013429517674445546,0.0033766314042623646,0.0028617143093696683,-0.015897423497069456,0.00987180273800109
16,female,0.0024767257777746003,0.00020391929261279792,0.0001427033706880233,0.0039226712944749635,0.004760592498775866,0.00451580948634508,0.05143652829766664
16,male,0.0024144777818380005,0.00020388919783087965,0.00014113431911036225,0.0036885081591017965,0.003218860861064805,-0.017301411983501273,0.010571505322103728
17,female,0.0026447121999200003,0.00021820315896572387,0.00014595102439265964,0.004246408318983353,0.005647496219451072,0.0029219943103469207,0.05077538720962319
17,male,0.0025805911998770005,0.0002191273503115206,0.0001463885417395439,0.0040295069515001065,0.003576198068313736,-0.01870319240764963,0.011280319957370624
18,female,0.0029038150397260004,0.00023551940421246063,0.00014624237583011729,0.004596937197946922,0.0065345879687878075,0.0013301823726991503,0.05012472714656455
18,male,0.0028404329393716004,0.00023748604641238665,0.00014820007882780293,0.00440237002049435,0.0039337258476057745,-0.02010276806728791,0.011998273631075217
19,female,0.003162917879532,0.00025359186815313944,0.0001459076373937896,0.0049764806236488,0.007421867665549279,-0.00025962916714563234,0.0494845813418239
19,male,0.0031002746788662,0.0002566843852613852,0.00014912101726485198,0.004810099580488828,0.004291444115452755,-0.02150014225541223,0.01272539341038341
20,female,0.003422020719338,0.0002717147496752337,0.00014563489770225661,0.005387446092357828,0.008309335228576182,-0.0018474431458351728,0.0488549831341257
20,male,0.0033601164183608002,0.00027599869477795127,0.00014989798039115201,0.005255982607090065,0.004649352788375239,-0.022895318259938173,0.013461706442657324
21,female,0.003681123559144,0.0002898880487787435,0.00014541093590607302,0.0048099230884314035,0.010486782744282185,-0.0014786882882775335,0.06499032347774637
21,male,0.0036199581578554,0.0002954289749620848,0.00015056232858403563,0.005008487911587192,0.0062712608422091,-0.02236402490338535,0.030964288826082008
22,female,0.00394022639895,0.0003067063301325458,0.000145335937180984,0.004294376242765097,0.01266495733323135,-0.0011096282137115403,0.08150841237058179
22,male,0.00387979989735,0.0003135139769558543,0.00014997052227425442,0.0047729906096600746,0.007893863355987824,-0.021832519091425383,0.04884172132203233
23,female,0.004258082658456,0.00031790156707302845,0.00014575920241104663,0.0038341470323989286,0.014843859613544577,-0.0007402627527964738,0.09841653748470082
23,male,0.004200096157834001,0.0003258030782349542,0.00014478099169767632,0.004548888023480021,0.009517160911015999,-0.021300800725228195,0.06710107214700586
24,female,0.004575938917962,0.00032765630751871845,0.00014637394792619047,0.003423293177458077,0.017023490203844124,-0.00037059173592052935,0.11572212525216481
24,male,0.004520392418318,0.00033663405194549244,0.00013913588705401816,0.004335609095148812,0.011141154089132303,-0.020768869705945086,0.085749542796654
25,female,0.004893795177468001,0.000337437311857937,0.00014691756760309703,0.0030565114963827383,0.019203849723306035,-6.149936402572234e-07,0.13343274350701495
25,male,0.004840688678802,0.00034752579559737043,0.0001342416750779872,0.004132612638710247,0.012765843472642393,-0.020236725934731244,0.10479447055880627
26,female,0.0052116514369740016,0.00034724458009068395,0.0001474033183962938,0.0027290690817332692,0.02138493879160084,0.0003696676438794781,0.1515561041774322
26,male,0.005160984939285999,0.00035847830919058825,0.0001299576838583877,0.003939385694915584,0.014391229644303762,-0.019704369312617945,0.12424333107402549
27,female,0.005529507696480001,0.00035645969359582395,0.00014820289692576104,0.0024367418978150676,0.02356675802896175,0.0007402563464054615,0.16533400621470845
27,male,0.00548128119977,0.0003688705253698879,0.00012850312145216926,0.003755441982263619,0.016017313187467692,-0.019171799740514,0.14254989227893755
28,female,0.005886026656798001,0.0003632330266288338,0.00015036049924944923,0.002175759998600949,0.02574930805611357,0.001111151283756144,0.1613673921383419
28,male,0.005841700541254001,0.0003768235409871278,0.0001365578581236049,0.0035803204382807434,0.017644094685825132,-0.01863901711965285,0.14017297515946214
29,female,0.006242545617116,0.00036947037196391605,0.00015260359773469644,0.0019427586511247654,0.02793258949436194,0.0014823526260418123,0.15740077806197544
29,male,0.006202119882738,0.000384210225352834,0.00014604999588656433,0.0034135838454101806,0.01927157472369783,-0.01810602135075339,0.13779605803998668
30,female,0.006599064577434,0.00037572376974683936,0.00015461387949304722,0.001734734726821859,0.030116602965462445,0.0018538605431853167,0.15343416398560894
30,male,0.006562539224221998,0.00039163490717107456,0.000154496030396986,0.0032548175362614217,0.020899753885789577,-0.01757281233482444,0.13541914092051127
31,female,0.006955583537752,0.00037949710677512906,0.00015662971711515863,0.002152917897469303,0.02597738720940064,0.003924182670206235,0.15746926690194885
31,male,0.006922958565706,0.0003943886168149304,0.00016229787926188836,0.0037869809394325033,0.016552181538113036,-0.015311689083644178,0.14019120750101835
32,female,0.007312102498069999,0.00038370346043805666,0.0001617970213431236,0.002672449899761605,0.021845866602642157,0.005999138887008734,0.16150436981828878
32,male,0.007283377907189999,0.0003974576532200879,0.00017559583172417837,0.004408556918297602,0.012212214375579806,-0.013046305442292367,0.14496327408152543
33,female,0.007694250236735999,0.0003898143674499728,0.00017986145433454404,0.0033180424055637447,0.017722019952842227,0.008078739188855426,0.1419128985420448
33,male,0.007670361725627999,0.00040210137467345326,0.00021278370467977826,0.005135090608440859,0.00787983141839622,-0.010776652559693496,0.12145065571512076
34,female,0.008076397975402,0.00039633876666009905,0.000199667881169337,0.0041204742787987825,0.013605826125978089,0.01016299359235463,0.11482724272498239
34,male,0.008057345544066,0.00040701394048260186,0.00025302322931706404,0.0059849484431830045,0.003555011744664943,-0.008502721566242696,0.09493803669288867
35,female,0.008458545714067999,0.00040277323453474236,0.00021777685781938417,0.005118093050982118,0.009497264046286617,0.012251912135932878,0.08856488128284021
35,male,0.008444329362504001,0.0004117706688741056,0.0002897070476814409,0.006979858483289648,-0.0007622655097955389,-0.006224503573992289,0.06926071575076358
36,female,0.008840693452734,0.00040911777107390294,0.00023440901961067787,0.006358691390470239,0.005396312696014055,0.014345504879469105,0.06310403410285226
36,male,0.008831313180942,0.0004163715598479645,0.00032330372850353163,0.008145561336516505,-0.005072021151625292,-0.003941989676686082,0.04439639051118806
37,female,0.0092228411914,0.0004478941436888099,0.00026043868341422825,0.007901853220093817,0.001302951115255144,0.016443781904681657,0.03842349726174534
37,male,0.00921829699938,0.000453605452877835,0.0003644333395931731,0.009512596188485713,-0.009374275930107574,-0.0016551709491811205,0.0203233540670036
38,female,0.009982822752652,0.0006160568532846593,0.000326798120746699,0.009821888328100246,-0.0027828415980735216,0.01854675331496444,0.014502627782595652
38,male,0.009983305959420001,0.0006204048581743472,0.00044276750811382114,0.011117252434884184,-0.013669050537120309,0.0006359615520512849,-0.0029795209155967645
39,female,0.010742804313904003,0.000814380684805362,0.0003953545891428865,0.012211504780056759,-0.006861086288579742,0.02065442923542885,-0.008678671205841131
39,male,0.010748314919460001,0.0008158855281386138,0.0005214975445049155,0.013002724985278236,-0.01795636560767551,0.002931416788765039,-0.025532797673542544
40,female,0.011502785875156001,0.0010105293584916034,0.0004551149676770723,0.015186406828986443,-0.010931803743426307,0.022766819813285988,-0.0311399649147428
40,male,0.0115133238795,0.0010075190239935698,0.0005900189403707215,0.015220520987288983,-0.022236241719729294,0.005231203741930319,-0.04735649040679851
41,female,0.012262767436408,0.0012045028743433834,0.0005077232150229826,0.0135687371899683,-0.011054413278988297,0.021675474687882966,-0.022937176972136458
41,male,0.012278332839540001,0.0011953053457392146,0.0006502494870173314,0.014648079800099327,-0.022641658461560285,0.004344956983250602,-0.03862093563852022
42,female,0.01302274899766,0.0014184006592702018,0.0005598736293678689,0.012126710434707358,-0.011175508808268054,0.020585138054356602,-0.014716575424093485
42,male,0.013043341799580001,0.001396882042206952,0.0007091998611260385,0.014110263068270857,-0.023045630081395322,0.003459903664042352,-0.029869177488926875
43,female,0.015304219996088003,0.0017180865578625693,0.000626529309147752,0.010841011599438035,-0.01129508845615729,0.019495808909021792,-0.006478084131179354
43,male,0.015292635035982001,0.0016643706581964339,0.000782245824969598,0.013605625404453313,-0.023448154817360973,0.0025760424853597326,-0.02110114971509438
44,female,0.017585690994516002,0.0020361150669159617,0.0006832024499673737,0.009694470525530258,-0.011413150345179599,0.018407486248772482,0.0017783733707329458
44,male,0.017541928272384,0.0019435209305228684,0.0008443456196437406,0.013132856332522497,-0.023849230905305528,0.0016933721500201567,-0.01231678580525372
45,female,0.019867161992944006,0.002350512603136585,0.0007270891225622954,0.00867182185384059,-0.011529692595536564,0.01732016907190683,0.010052873874228738
45,male,0.019791221508786,0.002216738275350082,0.0008925285070683498,0.012690781217309252,-0.024248856579016147,0.0008118913617758572,-0.0035160189730934262
46,female,0.022148632991372007,0.0026900884641715534,0.0007608129500245511,0.007497985923199064,-0.01000503291112038,0.015857622807739023,0.01342644833697971
46,male,0.022040514745188002,0.0025152937473984375,0.0009304625827191654,0.011758744662467225,-0.022663171980812646,-0.00046482331064603933,-0.000650362381319233
47,female,0.024430103989800004,0.003000674512439042,0.0008047451115277957,0.006484755273260396,-0.008478849821514969,0.014396080026193124,0.01681822036982624
47,male,0.02428980798159,0.0027853326720912396,0.0009821999993981866,0.010895839245444511,-0.021076033429492904,-0.0017403510236338616,0.0022318315216213044
48,female,0.027955382787180003,0.0031838254404118523,0.0009066058066459692,0.00560988061534975,-0.006951141439886876,0.012935539728353707,0.020228267753283607
48,male,0.027630970179124,0.0029366775553224464,0.0011073670979901177,0.010096878149836924,-0.019487439152264904,-0.0030146930683132562,0.005130630343022191
49,female,0.031480661584560005,0.0033364989300257346,0.0010029164747376394,0.004854239906993713,-0.005421905877167975,0.01147600091648555,0.02365666860020511
49,male,0.030972132376658,0.0030597479816036593,0.00122716545841072,0.009357068959999867,-0.01789738737423008,-0.004287850735186161,0.00804610196645018
50,female,0.03500594038194001,0.0034905596333402217,0.0010795746557854138,0.00420139132100169,-0.0038911412418686253,0.010017462593402547,0.027103501357083577
50,male,0.03431329457419201,0.003183354608106429,0.0013236877538963703,0.00867198319879279,-0.016305876318403544,-0.005559825313193744,0.010978314552705946
51,female,0.03853121917932001,0.003646007550355316,0.0011420464362125518,0.00430677378996464,-0.00396435651771808,0.007085789253542618,0.026190795962570824
51,male,0.037654456771726005,0.003307497434830756,0.0014032088152747973,0.009050923832382467,-0.016269975790336438,-0.008275935804903841,0.009558045181512298
52,female,0.042056497976700004,0.003782524756303887,0.0012161254353401834,0.004415796936417821,-0.004037436374265318,0.004160205527837402,0.02527809138007208
52,male,0.04099561896926,0.0034196340547986907,0.0015032317701142775,0.009446969081564994,-0.01623394555276253,-0.010985624591958568,0.008137833206049928
53,female,0.045788156979139995,0.003838531862906744,0.0013676922237015122,0.004528572733808675,-0.0041103808615281096,0.0012406964466344927,0.024365387611980115
53,male,0.044579748376948,0.003481619122201754,0.001722289363469854,0.00986090561672218,-0.01619778565292092,-0.013688907973510404,0.006717678614855558
54,female,0.049519815981580007,0.0038753547928754607,0.0015185047894545627,0.004645217605309423,-0.0041831900291152135,-0.0016727529229484846,0.02345268465535015
54,male,0.04816387778463601,0.003530733604254768,0.0019432182470343934,0.010293556798096565,-0.01616149613782312,-0.016385802207088223,0.0052975813912976115
55,female,0.053251474984020004,0.003912353199933784,0.0016480078627280704,0.0047658525456038174,-0.004255863927015864,-0.004580157477085267,0.022539982512184142
55,male,0.051748007192324,0.0035800357205554305,0.0021337929758260756,0.010745784404942268,-0.01612507705459687,-0.0190763235091261,0.0038775415233326133
56,female,0.056983133986459995,0.003949527084081717,0.0017604187722560821,0.004890603250057419,-0.004328402604954508,-0.007481532075076535,0.02162728118199604
56,male,0.055332136600012,0.0036295254711037417,0.0022999598616955065,0.011218490446953854,-0.01608852845012944,-0.021760488054367377,0.002457558997657844
57,female,0.0607147929889,0.004054425504259691,0.0018959840029113962,0.005019600251203463,-0.004400806112737753,-0.010376891540105968,0.02071458066490776
57,male,0.0589162660077,0.0037480038297656323,0.002487581151832283,0.01171261906184543,-0.01605185037159732,-0.024438311976992918,0.0010376337997178714
58,female,0.06516338599586,0.004433080750962186,0.0021637111755107375,0.005152979062583374,-0.004473074500113689,-0.013266250658607646,0.01980188095971047
58,male,0.06339841659412,0.0041435595750636345,0.002818723421902057,0.01222915850309992,-0.0160150428659444,-0.027109811370287652,-0.0003822340835561971
