age,sex,incidence,excess_mortality,incidence_apc,excess_mortality_apc
0,female,0.03319215186370853,0.000720778766284127,-0.010140204495896477,-0.01847643315733849
0,male,0.04618422661699013,0.0006295436144520285,-0.009838051201839115,-0.01896325707334401
1,female,0.033349526452527846,0.0005714511531177742,-0.00963266990402567,-0.018780727519728146
1,male,0.04564931722216683,0.0005120134621769817,-0.00938701265296038,-0.019308933371713466
2,female,0.03344395120581944,0.00048252915733157804,-0.00912487378765059,-0.01908524088314567
2,male,0.04532837158527285,0.00044016390309733854,-0.008935767086268975,-0.019654805257473984
3,female,0.029611269062723967,0.0001298167205547127,-0.008616815655614563,-0.01938997372985063
3,male,0.03822119224671999,0.00013639490199071427,-0.008484313981632852,-0.020000873249517603
4,female,0.025400887906462135,0.00012716756663270015,-0.008108494933610988,-0.019694926625264175
4,male,0.03239779545574305,0.00012837436992426041,-0.008032652717027688,-0.020347137968635187
5,female,0.0211905067502003,0.00012346568208137658,-0.007599910953256406,-0.020000100228869555
5,male,0.02657439866476611,0.00011683866964746113,-0.007580782551400378,-0.02069360015465349
6,female,0.016980125593938463,0.00011792796364633739,-0.007091062944959092,-0.020305495301348175
6,male,0.020751001873789164,9.882839427475421e-05,-0.007128702608694915,-0.02104026068237408
7,female,0.012769744437676629,0.00010873850332071187,-0.006581950039230899,-0.02061111270327054
7,male,0.014927605082812219,6.676616894380601e-05,-0.006676411866257226,-0.021387120573196916
8,female,0.011704703549938515,0.00012169839863036244,-0.006072571284014838,-0.02091695337780053
8,male,0.013586980960399269,7.167112713859047e-05,-0.006223909152999307,-0.021734180996975994
9,female,0.010639662662200403,0.0001372528909387732,-0.005562925690028919,-0.02122301830531892
9,male,0.012246356837986317,7.764998924820427e-05,-0.00577119316612551,-0.022081443255286937
10,female,0.00957462177446229,0.00015626781660668258,-0.0050530123233013535,-0.021529308410887404
10,male,0.010905732715573373,8.509879509800945e-05,-0.005318262520221495,-0.022428908732289088
11,female,0.008509580886724176,0.00018004247688037478,-0.00513993965307824,-0.021309925776617722
11,male,0.00956510859316042,9.46356167205912e-05,-0.005465966526262744,-0.022213442073258705
12,female,0.007444539998986061,0.00021061970260123064,-0.00522685619762453,-0.021090535904070618
12,male,0.00822448447074747,0.00010728151907980918,-0.005613644260156314,-0.021997996963547428
13,female,0.007346269219493167,0.00020691168323420023,-0.0053137623776872145,-0.020871138370040065
13,male,0.007978435752448025,0.0001234824129659335,-0.005761296308763764,-0.021782572815970846
14,female,0.007247998440000272,0.0002031031147413417,-0.005400658559834515,-0.02065173280550514
14,male,0.00773238703414858,0.00014071434918306946,-0.005908923185170445,-0.021567169117149287
15,female,0.007149727660507376,0.00019918985107341726,-0.005487545063270538,-0.020432318888822354
15,male,0.007486338315849136,0.0001590789875681178,-0.006056525337022944,-0.021351785419037483
16,female,0.00705145688101448,0.00019516751505987767,-0.0055744221658190485,-0.02021289633966583
16,male,0.0072402895975496925,0.00017869180689283548,-0.006204103154229257,-0.02113642133143312
17,female,0.006953186101521586,0.00019103148207644206,-0.005661290109156392,-0.019993464913961034
17,male,0.006994240879250248,0.00019968453552877006,-0.006351656975827735,-0.02092107651496855
18,female,0.007029462265899136,0.00021839632586506856,-0.005748149103444122,-0.019774024399070944
18,male,0.0070163730696012165,0.000220861110087673,-0.006499187096231651,-0.020705750674907764
19,female,0.007105738430276688,0.0002451736767862139,-0.005834999331332025,-0.01955457460990584
19,male,0.007038505259952186,0.00024190450751256545,-0.0066466937707793106,-0.020490443555583604
20,female,0.007182014594654238,0.0002713822531404078,-0.0059218409515177095,-0.019335115385270996
20,male,0.007060637450303156,0.0002628159801698383,-0.006794177220658004,-0.020275154935465278
21,female,0.0072582907590317885,0.00029703998639821384,-0.005781042563653638,-0.01861130982879078
21,male,0.007082769640654124,0.00028359676477233856,-0.006702152916892246,-0.019566273984413796
22,female,0.007334566923409339,0.0003221640621136008,-0.0056402241837688605,-0.01788675735457157
22,male,0.007104901831005094,0.0003042480826231778,-0.006610119938624703,-0.018856742411970995
23,female,0.007585385648147029,0.0003376508585323117,-0.005499385810506685,-0.017161457283667025
