age,sex,prev,i,f,r,i_apc,f_apc,r_apc
0,female,0.054322824666666665,0.0,0.0,0.15511266779140717,-0.024546771830731118,-0.025095749905794967,0.009689047602930408
0,male,0.09301404866666665,0.0,0.0,0.14002779198562149,-0.024286562748585,-0.03328085244052885,0.006439105891226654
1,female,0.061113177750000004,0.018904763357099497,1.4585442728390292e-05,0.14025390419816103,-0.022425059937154934,-0.025444552049642778,0.007253542862667104
1,male,0.10464080474999998,0.027948581375867865,6.681519677716414e-06,0.13568976890122342,-0.022497285404178096,-0.033093630152403936,0.004528375090312982
2,female,0.0651873896,0.020516837936110848,1.3015838125446056e-05,0.12686021487193652,-0.0203006363650779,-0.025792568848608352,0.004818960013525253
2,male,0.1116168584,0.030234303810848427,6.1023513106072786e-06,0.13150039750375725,-0.02070578053110978,-0.03290558770619691,0.002618595066291413
3,female,0.08726109540000002,0.021521248105139387,1.0772693361811208e-05,0.11478197043995081,-0.018173496602273853,-0.026139801005243157,0.00238529816948135
3,male,0.13898222140000002,0.03148550173095874,5.727236443340429e-06,0.12745391002614775,-0.01891204476949968,-0.03271672585451664,0.000709764890375577
4,female,0.09303795379999999,0.019174436775746692,1.0004591900067594e-05,0.1038854870716643,-0.016043636128995013,-0.026486249221491683,-4.744355463418698e-05
4,male,0.1384433698,0.02778187084922274,6.1254737973905734e-06,0.12354479674662125,-0.017116074754385032,-0.03252704534932305,-0.001198116365310877
5,female,0.09881481219999999,0.015937320972464177,9.710057038647624e-06,0.09405123905965916,-0.013911050417999674,-0.026831914198648624,-0.002479266043141533
5,male,0.13790451820000002,0.022787238584094968,6.722890363493256e-06,0.11976779257410569,-0.01531786711574214,-0.03233654694188531,-0.00310504962773766
6,female,0.10459167060000002,0.012665371247546525,9.436205960516858e-06,0.08517228387912813,-0.011775734934464545,-0.027176796637395827,-0.0049101701795161035
6,male,0.1373656666,0.017760569882075767,7.3085841642789605e-06,0.11611786444094087,-0.01351741847842096,-0.032145231382750473,-0.005011035822971983
7,female,0.11036852899999999,0.00982700700104028,9.883474852945683e-06,0.07715287274416618,-0.0096376851360761,-0.027520897237746776,-0.00734015684637432
7,male,0.13682681500000002,0.013352001410517178,8.322929502108694e-06,0.1125901994472933,-0.011714725462231245,-0.031953099421789165,-0.006916075876170375
8,female,0.110857913,0.008857278243056575,1.3101089057652512e-05,0.06990722335899949,-0.0074968964729135714,-0.027864216699185183,-0.00976922692549559
8,male,0.13327757340000002,0.011538607713976924,1.1089125661772124e-05,0.10918019370598998,-0.009909784681847975,-0.03176015180822518,-0.008820170711595604
9,female,0.111347297,0.008377491259569414,1.687599405700967e-05,0.0633584347016838,-0.005353364387519876,-0.02820675572045199,-0.012197381297802047
9,male,0.1297283318,0.010383188972200863,1.4362405435443809e-05,0.10588344184043211,-0.008102592746875081,-0.03156638929053346,-0.010723321252595954
10,female,0.11183668100000001,0.00789233412907042,2.049532152491987e-05,0.05743752636217772,-0.003207084314812257,-0.028548514999752576,-0.014624620843372139
10,male,0.1261790902,0.009220353672884646,1.7733526654346277e-05,0.10269572709186434,-0.006293146261739847,-0.031371812616536474,-0.012625528421623322
11,female,0.11232606500000002,0.00740180685155959,2.3961006035625148e-05,0.05880646183263042,-0.004526805069369418,-0.02818648558468068,-0.009948215441569427
11,male,0.12262984860000001,0.00805010181602828,2.121100676601174e-05,0.10243571599744779,-0.007959327770203407,-0.030498458837538975,-0.0074833920199354285
12,female,0.11281544900000001,0.006931965332064059,2.6787367663209203e-05,0.06022221025493449,-0.005843229142359848,-0.02782442747578191,-0.005233513582273389
12,male,0.119080607,0.006956616550123415,2.427129881776877e-05,0.10218545318069773,-0.00962157034539242,-0.029625060396057633,-0.0023037941184728475
13,female,0.11262176880000001,0.006560779369222428,2.755010655543152e-05,0.06168613773716569,-0.007156362532245714,-0.027462340677991873,-0.0004802768955236075
13,male,0.1145849262,0.006198193787839327,2.5324881380645605e-05,0.10194470166393292,-0.01127988182857196,-0.028751617301687363,0.0029134961152907173
14,female,0.1124280886,0.006207273879477918,2.7769478482210624e-05,0.06319966576963704,-0.008466211226574144,-0.02710022519623131,0.004311734472348521
14,male,0.1100892454,0.005529334433413851,2.589647997786934e-05,0.10171323339668206,-0.012934270045348754,-0.02787812956405522,0.008168710936211309
15,female,0.1122344084,0.005849916922703921,2.7968351317248683e-05,0.06476427253689294,-0.009772781201948908,-0.026738081035427495,0.009142761867907741
15,male,0.1055935646,0.004856258539855178,2.6519493978384596e-05,0.10149082885160503,-0.014584742805814482,-0.02700459719273767,0.01346208403023939
16,female,0.1120407282,0.005493445556613881,2.8688125471395437e-05,0.0662164251376477,-0.010933596818624883,-0.02715125580333711,0.013585602895804443
16,male,0.10109788380000002,0.00418922814115059,2.7688548846489324e-05,0.10054719659440009,-0.015636522146114704,-0.028020289507883777,0.017009491463750602
17,female,0.11184704799999999,0.005145401079629401,2.9422851030973506e-05,0.06772003715310253,-0.012091145637083375,-0.027564401902040833,0.018067947160569028
17,male,0.09660220300000001,0.003582820629260211,2.9165754024342984e-05,0.09963832804933027,-0.016684401603625554,-0.02903593720857444,0.02059552887100875
18,female,0.11041260579999998,0.004842771433310843,3.0211891613618406e-05,0.0692764958156339,-0.013245433601377057,-0.02797751933648337,0.022590040543586695
18,male,0.0927489548,0.0032420594353129795,3.1594735720454526e-05,0.09876262423789778,-0.017728388941895504,-0.030051540304379638,0.02422043428452974
19,female,0.10897816360000001,0.00454110837486711,3.1047904839333955e-05,0.07088725213294501,-0.01439646664475739,-0.02839060811159455,0.027152130456704934
19,male,0.08889570660000001,0.0029565585031604003,3.4472829679524056e-05,0.09791858493040546,-0.018768491908927244,-0.031067098804916142,0.027884447203488094
20,female,0.1075437214,0.00423569410022568,3.190724409268795e-05,0.07255382185040055,-0.015544250689756397,-0.028803668232256364,0.0317544658516159
20,male,0.08504245839999999,0.0026677844911962025,3.761962218695806e-05,0.09710480115710053,-0.019804718237452872,-0.03208261271976416,0.03158780860295719
