age,sex,disability_rate,expenditure_rate,expenditure_rate_death,income,income_death
0,female,0.0015482481322994014,6639.139419034312,6639.139419034312,0.0,0.0
0,male,0.001594224913044424,7200.711655412064,7200.711655412064,0.0,0.0
1,female,0.0015204954109361373,4444.759340185126,4444.759340185126,0.0,0.0
1,male,0.001562529080233083,3693.538379649369,3693.538379649369,0.0,0.0
2,female,0.0015039691481787561,4432.210126081965,4432.210126081965,0.0,0.0
2,male,0.0015431525069191352,3719.6903234803726,3719.6903234803726,0.0,0.0
3,female,0.001444669088256858,5005.885390343626,5005.885390343626,0.0,0.0
3,male,0.001466267047080939,4411.3617407979045,4411.3617407979045,0.0,0.0
4,female,0.0014525013445167215,5835.647152827021,5835.647152827021,0.0,0.0
4,male,0.001470950109118524,5204.289452200169,5204.289452200169,0.0,0.0
5,female,0.0014634460118723913,1607.2067479866632,1607.2067479866632,0.0,0.0
5,male,0.0014776856223732101,1375.892601549444,1375.892601549444,0.0,0.0
6,female,0.0014798183447586762,2005.7287122974317,2005.7287122974317,0.0,0.0
6,male,0.0014882015377994631,1762.012202392065,1762.012202392065,0.0,0.0
7,female,0.0015069870976054218,2667.0483194396174,2667.0483194396174,0.0,0.0
7,male,0.0015069221649403814,2449.389457360222,2449.389457360222,0.0,0.0
8,female,0.0014953539286744215,2909.729861749276,2909.729861749276,0.0,0.0
8,male,0.0014966170850787698,2691.0701222034136,2691.0701222034136,0.0,0.0
9,female,0.0014813917760230066,3200.9967349035646,3200.9967349035646,0.0,0.0
9,male,0.001484055785048396,2985.6649611958633,2985.6649611958633,0.0,0.0
10,female,0.0014643234404215237,2714.449373890652,2714.449373890652,0.0,0.0
10,male,0.0014684062043368816,2540.7508389253503,2540.7508389253503,0.0,0.0
11,female,0.0014429826322874442,3054.18403407808,3054.18403407808,0.0,0.0
11,male,0.0014483698035065659,2896.856766059297,2896.856766059297,0.0,0.0
12,female,0.0014155356488239925,3491.1258565967482,3491.1258565967482,0.0,0.0
12,male,0.0014218013744682822,3369.0560964328038,3369.0560964328038,0.0,0.0
13,female,0.0014105973683898158,3537.8265217895264,3537.8265217895264,0.0,0.0
13,male,0.001419354990648547,3472.955151351166,3472.955151351166,0.0,0.0
14,female,0.0014055251782503213,3585.793553361746,3585.793553361746,0.0,0.0
14,male,0.0014167529163284127,3583.4664539964688,3583.4664539964688,0.0,0.0
15,female,0.001400313556763953,3531.481035954973,3531.481035954973,0.0,0.0
15,male,0.0014139798005660192,3219.356544895708,3219.356544895708,0.0,0.0
16,female,0.0013949566744855158,3580.6965952391906,3580.6965952391906,0.0,0.0
16,male,0.0014110182057186832,3328.760808488781,3328.760808488781,0.0,0.0
17,female,0.0013894483724149233,3631.3033013454324,3631.3033013454324,0.0,0.0
17,male,0.0014078482404051625,3445.8624846526545,3445.8624846526545,0.0,0.0
18,female,0.001382744942700737,3591.900303357686,3591.900303357686,0.0,0.0
18,male,0.0013938734799226798,3434.992982179359,3434.992982179359,0.0,0.0
19,female,0.0013761854281930525,3553.3432440660986,3553.3432440660986,0.0,0.0
19,male,0.0013799866051624305,3424.1918368043034,3424.1918368043034,0.0,0.0
20,female,0.001369765243562865,3652.427688846708,3652.427688846708,0.0,0.0
20,male,0.001366186789667789,3194.0826870418646,3194.0826870418646,0.0,0.0
21,female,0.0013634799962269914,3614.0449367607675,3614.0449367607675,0.0,0.0
21,male,0.0013524732173121543,3184.101839207907,3184.101839207907,0.0,0.0
22,female,0.0013573254763257307,3576.4605110485427,3576.4605110485427,0.0,0.0
22,male,0.001338845082138056,3174.183173239196,3174.183173239196,0.0,0.0
23,female,0.0013542669768461248,3458.201096687055,3458.201096687055,0.0,0.0
23,male,0.0013432210976594154,3049.575627759483,3049.575627759483,0.0,0.0
24,female,0.0013514042683139172,3347.5121013924845,3347.5121013924845,0.0,0.0
