agecategory,sex,strata,acmr,disability_rate
0,female,SES1,1.4506177020279376,1.8159767358664907
0,female,SES2,1.3217969020804223,1.5643456195679133
0,female,SES3,1.2044159173756954,1.3475818104540038
0,female,SES4,1.0974588454132097,1.1608539143466776
0,female,SES5,1.0,1.0
0,male,SES1,1.9408288646376621,1.0752619986739145
0,male,SES2,1.6443354958780076,1.0559314450179202
0,male,SES3,1.3931363410081807,1.0369484069489256
0,male,SES4,1.1803119676628633,1.0183066369954217
0,male,SES5,1.0,1.0
1,female,SES1,2.625893533226939,1.4010631058780463
1,female,SES2,2.062803384243078,1.2877847347969023
1,female,SES3,1.6204609014804827,1.1836651155956428
1,female,SES4,1.272973252460743,1.087963747371962
1,female,SES5,1.0,1.0
1,male,SES1,1.5872002278338446,1.3195058906769883
1,male,SES2,1.414079374778085,1.231142999732551
1,male,SES3,1.2598413502635342,1.1486974756988841
1,male,SES4,1.1224265455982116,1.0717730523291227
1,male,SES5,1.0,1.0
5,female,SES1,1.6927475234467413,1.3154506128322652
5,female,SES2,1.484034988702922,1.2283041260534182
5,female,SES3,1.3010563106363773,1.146930953820789
5,female,SES4,1.1406385538970603,1.0709486233339063
5,female,SES5,1.0,1.0
5,male,SES1,1.8524860184721987,1.2460872791412243
5,male,SES2,1.5878746089392386,1.179400606740626
5,male,SES3,1.3610606226293518,1.1162827953261771
5,male,SES4,1.1666450285452523,1.0565428506814938
5,male,SES5,1.0,1.0
10,female,SES1,1.9149223130283959,1.2646807588499738
10,female,SES2,1.6278461988234842,1.1925749516459803
10,female,SES3,1.3838071805813106,1.1245802589633047
10,female,SES4,1.1763533400221682,1.060462285497841
10,female,SES5,1.0,1.0
10,male,SES1,1.2975188429137328,1.2749568987877289
10,male,SES2,1.2157247412571182,1.1998352790036686
10,male,SES3,1.1390868460805492,1.1291398933647367
10,male,SES4,1.0672801160335317,1.062609944130365
10,male,SES5,1.0,1.0
15,female,SES1,2.294983523696312,1.304672452993189
15,female,SES2,1.864595702701658,1.2207482757980126
