age,sex,income,income_death,expenditure_rate,expenditure_rate_death
0,female,0.0,0.0,7640.986430800113,32899.82992218225
0,male,0.0,0.0,8613.912387830254,43680.56772208093
1,female,0.0,0.0,3307.6734712764223,69662.7094120375
1,male,0.0,0.0,4097.240953523875,89174.40960145729
2,female,0.0,0.0,3307.6734712764223,69662.7094120375
2,male,0.0,0.0,4097.240953523875,89174.40960145729
3,female,0.0,0.0,3307.6734712764223,69662.7094120375
3,male,0.0,0.0,4097.240953523875,89174.40960145729
4,female,0.0,0.0,3307.6734712764223,69662.7094120375
4,male,0.0,0.0,4097.240953523875,89174.40960145729
5,female,0.0,0.0,1765.7992877918607,70755.88725116859
5,male,0.0,0.0,2172.8736418257195,64967.438700389815
6,female,0.0,0.0,1765.7992877918607,70755.88725116859
6,male,0.0,0.0,2172.8736418257195,64967.438700389815
7,female,0.0,0.0,1765.7992877918607,70755.88725116859
7,male,0.0,0.0,2172.8736418257195,64967.438700389815
8,female,0.0,0.0,1765.7992877918607,70755.88725116859
8,male,0.0,0.0,2172.8736418257195,64967.438700389815
9,female,0.0,0.0,1765.7992877918607,70755.88725116859
9,male,0.0,0.0,2172.8736418257195,64967.438700389815
10,female,0.0,0.0,2098.9773781340205,86837.20609416123
10,male,0.0,0.0,2260.141714751799,93581.10748237865
11,female,0.0,0.0,2098.9773781340205,86837.20609416123
11,male,0.0,0.0,2260.141714751799,93581.10748237865
12,female,0.0,0.0,2098.9773781340205,86837.20609416123
12,male,0.0,0.0,2260.141714751799,93581.10748237865
13,female,0.0,0.0,2098.9773781340205,86837.20609416123
13,male,0.0,0.0,2260.141714751799,93581.10748237865
14,female,0.0,0.0,2098.9773781340205,86837.20609416123
14,male,0.0,0.0,2260.141714751799,93581.10748237865
15,female,0.0,0.0,3638.9073486220295,61111.96084829613
15,male,0.0,0.0,2644.0776480499485,49661.713011028594
16,female,0.0,0.0,3638.9073486220295,61111.96084829613
16,male,0.0,0.0,2644.0776480499485,49661.713011028594
