age,sex,income,income_death,expenditure_rate,expenditure_rate_death
17,female,0.0,0.0,3638.9073486220295,61111.96084829613
17,male,0.0,0.0,2644.0776480499485,49661.713011028594
18,female,0.0,0.0,3638.9073486220295,61111.96084829613
18,male,0.0,0.0,2644.0776480499485,49661.713011028594
19,female,0.0,0.0,3638.9073486220295,61111.96084829613
19,male,0.0,0.0,2644.0776480499485,49661.713011028594
20,female,0.0,0.0,4516.270282088714,91497.46376107387
20,male,0.0,0.0,2645.726513890554,27122.936713714542
21,female,0.0,0.0,4516.270282088714,91497.46376107387
21,male,0.0,0.0,2645.726513890554,27122.936713714542
22,female,0.0,0.0,4516.270282088714,91497.46376107387
22,male,0.0,0.0,2645.726513890554,27122.936713714542
23,female,0.0,0.0,4516.270282088714,91497.46376107387
23,male,0.0,0.0,2645.726513890554,27122.936713714542
24,female,0.0,0.0,4516.270282088714,91497.46376107387
24,male,0.0,0.0,2645.726513890554,27122.936713714542
25,female,32460.726087513034,7429.8807338644965,5966.000546149451,101850.11235960935
25,male,44443.976006082456,12754.024537789837,2801.8122943661056,50948.04903198743
26,female,32460.726087513034,7429.8807338644965,5966.000546149451,101850.11235960935
26,male,44443.976006082456,12754.024537789837,2801.8122943661056,50948.04903198743
27,female,32460.726087513034,7429.8807338644965,5966.000546149451,101850.11235960935
27,male,44443.976006082456,12754.024537789837,2801.8122943661056,50948.04903198743
28,female,32460.726087513034,7429.8807338644965,5966.000546149451,101850.11235960935
28,male,44443.976006082456,12754.024537789837,2801.8122943661056,50948.04903198743
29,female,32460.726087513034,7429.8807338644965,5966.000546149451,101850.11235960935
29,male,44443.976006082456,12754.024537789837,2801.8122943661056,50948.04903198743
30,female,35448.383820008465,8404.82605943013,7595.412308851326,145103.63950807982
30,male,54970.24443440137,15323.675972087362,3205.435766726638,64796.91407983863
31,female,35448.383820008465,8404.82605943013,7595.412308851326,145103.63950807982
31,male,54970.24443440137,15323.675972087362,3205.435766726638,64796.91407983863
32,female,35448.383820008465,8404.82605943013,7595.412308851326,145103.63950807982
32,male,54970.24443440137,15323.675972087362,3205.435766726638,64796.91407983863
33,female,35448.383820008465,8404.82605943013,7595.412308851326,145103.63950807982
33,male,54970.24443440137,15323.675972087362,3205.435766726638,64796.91407983863
34,female,35448.383820008465,8404.82605943013,7595.412308851326,145103.63950807982
34,male,54970.24443440137,15323.675972087362,3205.435766726638,64796.91407983863
35,female,36358.09116839871,9128.48436180165,7253.083772687694,153997.1755654671
35,male,61282.622781465114,15494.019579156451,3971.0044367374066,64378.09025317999
36,female,36358.09116839871,9128.48436180165,7253.083772687694,153997.1755654671
36,male,61282.622781465114,15494.019579156451,3971.0044367374066,64378.09025317999
37,female,36358.09116839871,9128.48436180165,7253.083772687694,153997.1755654671
37,male,61282.622781465114,15494.019579156451,3971.0044367374066,64378.09025317999
38,female,36358.09116839871,9128.48436180165,7253.083772687694,153997.1755654671
38,male,61282.622781465114,15494.019579156451,3971.0044367374066,64378.09025317999
39,female,36358.09116839871,9128.48436180165,7253.083772687694,153997.1755654671
39,male,61282.622781465114,15494.019579156451,3971.0044367374066,64378.09025317999
40,female,38832.301858310006,9685.423389169377,6284.054318734161,155516.7359938513
40,male,62706.98528312792,15803.295915395363,4528.856106607318,88845.06773817843
41,female,38832.301858310006,9685.423389169377,6284.054318734161,155516.7359938513
41,male,62706.98528312792,15803.295915395363,4528.856106607318,88845.06773817843
42,female,38832.301858310006,9685.423389169377,6284.054318734161,155516.7359938513
42,male,62706.98528312792,15803.295915395363,4528.856106607318,88845.06773817843
43,female,38832.301858310006,9685.423389169377,6284.054318734161,155516.7359938513
43,male,62706.98528312792,15803.295915395363,4528.856106607318,88845.06773817843
44,female,38832.301858310006,9685.423389169377,6284.054318734161,155516.7359938513
44,male,62706.98528312792,15803.295915395363,4528.856106607318,88845.06773817843
45,female,40853.47104005884,8410.866612872298,6410.189416607668,125443.23586935058
45,male,61094.15751406953,15217.362231505236,5447.562284146179,90289.82795620023
46,female,40853.47104005884,8410.866612872298,6410.189416607668,125443.23586935058
46,male,61094.15751406953,15217.362231505236,5447.562284146179,90289.82795620023
47,female,40853.47104005884,8410.866612872298,6410.189416607668,125443.23586935058
47,male,61094.15751406953,15217.362231505236,5447.562284146179,90289.82795620023
48,female,40853.47104005884,8410.866612872298,6410.189416607668,125443.23586935058
48,male,61094.15751406953,15217.362231505236,5447.562284146179,90289.82795620023
49,female,40853.47104005884,8410.866612872298,6410.189416607668,125443.23586935058
49,male,61094.15751406953,15217.362231505236,5447.562284146179,90289.82795620023
50,female,40484.99728008669,8482.145143489859,7097.164073724506,123860.80646415333
50,male,57704.19892232583,15048.226735124581,6716.093066258697,93575.35311006564
51,female,40484.99728008669,8482.145143489859,7097.164073724506,123860.80646415333
51,male,57704.19892232583,15048.226735124581,6716.093066258697,93575.35311006564
52,female,40484.99728008669,8482.145143489859,7097.164073724506,123860.80646415333
52,male,57704.19892232583,15048.226735124581,6716.093066258697,93575.35311006564
53,female,40484.99728008669,8482.145143489859,7097.164073724506,123860.80646415333
53,male,57704.19892232583,15048.226735124581,6716.093066258697,93575.35311006564
54,female,40484.99728008669,8482.145143489859,7097.164073724506,123860.80646415333
54,male,57704.19892232583,15048.226735124581,6716.093066258697,93575.35311006564
55,female,36013.77962219522,6886.230924069533,8085.077222601762,123625.03398473641
55,male,52212.127732708264,13635.945340346108,8309.455182742462,100763.86736273704
56,female,36013.77962219522,6886.230924069533,8085.077222601762,123625.03398473641
56,male,52212.127732708264,13635.945340346108,8309.455182742462,100763.86736273704
57,female,36013.77962219522,6886.230924069533,8085.077222601762,123625.03398473641
57,male,52212.127732708264,13635.945340346108,8309.455182742462,100763.86736273704
58,female,36013.77962219522,6886.230924069533,8085.077222601762,123625.03398473641
58,male,52212.127732708264,13635.945340346108,8309.455182742462,100763.86736273704
59,female,36013.77962219522,6886.230924069533,8085.077222601762,123625.03398473641
59,male,52212.127732708264,13635.945340346108,8309.455182742462,100763.86736273704
60,female,26492.659286652775,5284.276151207042,9685.126820751264,106832.1969311637
60,male,42860.142893546465,11324.829593373299,10863.204950454261,97462.90717729862
61,female,26492.659286652775,5284.276151207042,9685.126820751264,106832.1969311637
61,male,42860.142893546465,11324.829593373299,10863.204950454261,97462.90717729862
62,female,26492.659286652775,5284.276151207042,9685.126820751264,106832.1969311637
62,male,42860.142893546465,11324.829593373299,10863.204950454261,97462.90717729862
63,female,26492.659286652775,5284.276151207042,9685.126820751264,106832.1969311637
63,male,42860.142893546465,11324.829593373299,10863.204950454261,97462.90717729862
64,female,26492.659286652775,5284.276151207042,9685.126820751264,106832.1969311637
64,male,42860.142893546465,11324.829593373299,10863.204950454261,97462.90717729862
65,female,0.0,0.0,11982.718101487757,93739.29530042427
65,male,0.0,0.0,13749.217686329132,88611.55406394953
66,female,0.0,0.0,11982.718101487757,93739.29530042427
66,male,0.0,0.0,13749.217686329132,88611.55406394953
67,female,0.0,0.0,11982.718101487757,93739.29530042427
67,male,0.0,0.0,13749.217686329132,88611.55406394953
68,female,0.0,0.0,11982.718101487757,93739.29530042427
68,male,0.0,0.0,13749.217686329132,88611.55406394953
69,female,0.0,0.0,11982.718101487757,93739.29530042427
69,male,0.0,0.0,13749.217686329132,88611.55406394953
70,female,0.0,0.0,15000.330082325869,88104.8525728179
70,male,0.0,0.0,17466.04075099534,82794.16484010644
71,female,0.0,0.0,15000.330082325869,88104.8525728179
71,male,0.0,0.0,17466.04075099534,82794.16484010644
72,female,0.0,0.0,15000.330082325869,88104.8525728179
72,male,0.0,0.0,17466.04075099534,82794.16484010644
73,female,0.0,0.0,15000.330082325869,88104.8525728179
73,male,0.0,0.0,17466.04075099534,82794.16484010644
74,female,0.0,0.0,15000.330082325869,88104.8525728179
74,male,0.0,0.0,17466.04075099534,82794.16484010644
75,female,0.0,0.0,18190.65216506336,68747.05477292716
75,male,0.0,0.0,21423.666496496204,78211.52483855386
76,female,0.0,0.0,18190.65216506336,68747.05477292716
76,male,0.0,0.0,21423.666496496204,78211.52483855386
77,female,0.0,0.0,18190.65216506336,68747.05477292716
77,male,0.0,0.0,21423.666496496204,78211.52483855386
78,female,0.0,0.0,18190.65216506336,68747.05477292716
78,male,0.0,0.0,21423.666496496204,78211.52483855386
79,female,0.0,0.0,18190.65216506336,68747.05477292716
79,male,0.0,0.0,21423.666496496204,78211.52483855386
80,female,0.0,0.0,21154.649370463507,58471.26949121207
80,male,0.0,0.0,25540.178840535482,69669.76253814923
81,female,0.0,0.0,21154.649370463507,58471.26949121207
81,male,0.0,0.0,25540.178840535482,69669.76253814923
82,female,0.0,0.0,21154.649370463507,58471.26949121207
82,male,0.0,0.0,25540.178840535482,69669.76253814923
83,female,0.0,0.0,21154.649370463507,58471.26949121207
83,male,0.0,0.0,25540.178840535482,69669.76253814923
84,female,0.0,0.0,21154.649370463507,58471.26949121207
84,male,0.0,0.0,25540.178840535482,69669.76253814923
85,female,0.0,0.0,22741.70852147263,45509.354210510806
85,male,0.0,0.0,27834.434060554722,60008.4631999779
86,female,0.0,0.0,22741.70852147263,45509.354210510806
86,male,0.0,0.0,27834.434060554722,60008.4631999779
87,female,0.0,0.0,22741.70852147263,45509.354210510806
87,male,0.0,0.0,27834.434060554722,60008.4631999779
88,female,0.0,0.0,22741.70852147263,45509.354210510806
88,male,0.0,0.0,27834.434060554722,60008.4631999779
89,female,0.0,0.0,22741.70852147263,45509.354210510806
89,male,0.0,0.0,27834.434060554722,60008.4631999779
90,female,0.0,0.0,22960.204295235613,35813.16234939529
90,male,0.0,0.0,28256.053863624176,48168.58028456904
91,female,0.0,0.0,22960.204295235613,35813.16234939529
91,male,0.0,0.0,28256.053863624176,48168.58028456904
92,female,0.0,0.0,22960.204295235613,35813.16234939529
92,male,0.0,0.0,28256.053863624176,48168.58028456904
93,female,0.0,0.0,22960.204295235613,35813.16234939529
93,male,0.0,0.0,28256.053863624176,48168.58028456904
94,female,0.0,0.0,22960.204295235613,35813.16234939529
94,male,0.0,0.0,28256.053863624176,48168.58028456904
95,female,0.0,0.0,22165.0323268289,26030.390308694314
95,male,0.0,0.0,25787.086872497723,36834.5488982436
96,female,0.0,0.0,22165.0323268289,26030.390308694314
96,male,0.0,0.0,25787.086872497723,36834.5488982436
97,female,0.0,0.0,22165.0323268289,26030.390308694314
97,male,0.0,0.0,25787.086872497723,36834.5488982436
98,female,0.0,0.0,22165.0323268289,26030.390308694314
98,male,0.0,0.0,25787.086872497723,36834.5488982436
99,female,0.0,0.0,22165.0323268289,26030.390308694314
99,male,0.0,0.0,25787.086872497723,36834.5488982436
100,female,0.0,0.0,22165.0323268289,26030.390308694314
100,male,0.0,0.0,25787.086872497723,36834.5488982436
101,female,0.0,0.0,22165.0323268289,26030.390308694314
101,male,0.0,0.0,25787.086872497723,36834.5488982436
102,female,0.0,0.0,22165.0323268289,26030.390308694314
102,male,0.0,0.0,25787.086872497723,36834.5488982436
103,female,0.0,0.0,22165.0323268289,26030.390308694314
103,male,0.0,0.0,25787.086872497723,36834.5488982436
104,female,0.0,0.0,22165.0323268289,26030.390308694314
104,male,0.0,0.0,25787.086872497723,36834.5488982436
105,female,0.0,0.0,22165.0323268289,26030.390308694314
105,male,0.0,0.0,25787.086872497723,36834.5488982436
106,female,0.0,0.0,22165.0323268289,26030.390308694314
106,male,0.0,0.0,25787.086872497723,36834.5488982436
107,female,0.0,0.0,22165.0323268289,26030.390308694314
107,male,0.0,0.0,25787.086872497723,36834.5488982436
108,female,0.0,0.0,22165.0323268289,26030.390308694314
108,male,0.0,0.0,25787.086872497723,36834.5488982436
109,female,0.0,0.0,22165.0323268289,26030.390308694314
109,male,0.0,0.0,25787.086872497723,36834.5488982436
