agecategory,sex,strata,population
0,female,SES1,20699
5,female,SES1,19911
10,female,SES1,18087
15,female,SES1,18796
20,female,SES1,20757
25,female,SES1,21893
30,female,SES1,20833
35,female,SES1,18234
40,female,SES1,18555
45,female,SES1,19462
50,female,SES1,19981
55,female,SES1,20184
60,female,SES1,18388
65,female,SES1,17247
70,female,SES1,13508
75,female,SES1,10761
80,female,SES1,7967
85,female,SES1,1782
0,female,SES2,23497
5,female,SES2,23265
10,female,SES2,21226
15,female,SES2,21364
20,female,SES2,22234
25,female,SES2,24520
30,female,SES2,24573
35,female,SES2,22037
40,female,SES2,22722
45,female,SES2,23753
50,female,SES2,24276
55,female,SES2,24612
60,female,SES2,22721
65,female,SES2,21005
70,female,SES2,16109
75,female,SES2,12542
80,female,SES2,9371
85,female,SES2,2256
0,female,SES3,21143
5,female,SES3,20645
10,female,SES3,18804
15,female,SES3,19736
20,female,SES3,21752
25,female,SES3,23475
30,female,SES3,24270
35,female,SES3,21689
40,female,SES3,21999
45,female,SES3,22054
50,female,SES3,21465
55,female,SES3,21025
60,female,SES3,18604
65,female,SES3,16719
70,female,SES3,12491
75,female,SES3,9259
80,female,SES3,6974
85,female,SES3,1633
0,female,SES4,21420
5,female,SES4,20882
10,female,SES4,18842
15,female,SES4,20557
20,female,SES4,25909
25,female,SES4,27473
30,female,SES4,27322
35,female,SES4,24328
40,female,SES4,24363
45,female,SES4,23385
50,female,SES4,21580
55,female,SES4,20068
60,female,SES4,17498
65,female,SES4,15569
70,female,SES4,11722
75,female,SES4,9201
80,female,SES4,6912
85,female,SES4,1685
0,female,SES5,23784
5,female,SES5,24551
10,female,SES5,22597
15,female,SES5,23658
20,female,SES5,30416
25,female,SES5,35089
30,female,SES5,34669
35,female,SES5,31155
40,female,SES5,31271
45,female,SES5,30511
50,female,SES5,27649
55,female,SES5,25371
60,female,SES5,22027
65,female,SES5,19835
70,female,SES5,14784
75,female,SES5,10999
80,female,SES5,8317
85,female,SES5,2284
0,male,SES1,21692
5,male,SES1,21085
10,male,SES1,19212
15,male,SES1,20048
20,male,SES1,22671
25,male,SES1,22538
30,male,SES1,21387
35,male,SES1,18614
40,male,SES1,18656
45,male,SES1,19033
50,male,SES1,19828
55,male,SES1,19667
60,male,SES1,17866
65,male,SES1,16885
70,male,SES1,12985
75,male,SES1,9500
80,male,SES1,6360
85,male,SES1,1044
0,male,SES2,24894
5,male,SES2,24509
10,male,SES2,22473
15,male,SES2,22880
20,male,SES2,23693
25,male,SES2,24474
30,male,SES2,24088
35,male,SES2,21689
40,male,SES2,22394
45,male,SES2,22486
50,male,SES2,23241
55,male,SES2,23503
60,male,SES2,21802
65,male,SES2,20768
70,male,SES2,15587
75,male,SES2,11320
80,male,SES2,7546
85,male,SES2,1332
0,male,SES3,22549
5,male,SES3,21790
10,male,SES3,19924
15,male,SES3,20763
20,male,SES3,22931
25,male,SES3,23586
30,male,SES3,23787
35,male,SES3,21729
40,male,SES3,21644
45,male,SES3,21006
50,male,SES3,20620
55,male,SES3,19992
60,male,SES3,17655
65,male,SES3,16201
70,male,SES3,11947
75,male,SES3,8351
80,male,SES3,5520
85,male,SES3,974
0,male,SES4,22678
5,male,SES4,21948
10,male,SES4,19944
15,male,SES4,21231
20,male,SES4,26879
25,male,SES4,27426
30,male,SES4,26817
35,male,SES4,24525
40,male,SES4,23936
45,male,SES4,22259
50,male,SES4,20776
55,male,SES4,19149
60,male,SES4,16406
65,male,SES4,14622
70,male,SES4,10965
75,male,SES4,7954
80,male,SES4,5506
85,male,SES4,992
0,male,SES5,25030
5,male,SES5,25881
10,male,SES5,23817
15,male,SES5,24602
20,male,SES5,30358
25,male,SES5,34256
30,male,SES5,33605
35,male,SES5,30320
40,male,SES5,30152
45,male,SES5,28604
50,male,SES5,26766
55,male,SES5,24187
60,male,SES5,20513
65,male,SES5,18773
70,male,SES5,13891
75,male,SES5,9712
80,male,SES5,6565
85,male,SES5,1336
