age,sex,incidence
0,female,0.15392787583506987
0,male,0.14327364791276403
1,female,0.1590385995695856
1,male,0.15810112680113111
2,female,0.1590385995695856
2,male,0.15810112680113111
3,female,0.1590385995695856
3,male,0.15810112680113111
4,female,0.1590385995695856
4,male,0.15810112680113111
5,female,0.17649213441766973
5,male,0.17469489829726645
6,female,0.17649213441766973
6,male,0.17469489829726645
7,female,0.17649213441766973
7,male,0.17469489829726645
8,female,0.17649213441766973
8,male,0.17469489829726645
9,female,0.17649213441766973
9,male,0.17469489829726645
10,female,0.18268073886027378
10,male,0.18547642808572362
11,female,0.18268073886027378
11,male,0.18547642808572362
12,female,0.18268073886027378
12,male,0.18547642808572362
13,female,0.18268073886027378
13,male,0.18547642808572362
14,female,0.18268073886027378
14,male,0.18547642808572362
15,female,0.1522649483483433
15,male,0.1452152923844909
16,female,0.1522649483483433
16,male,0.1452152923844909
17,female,0.1522649483483433
17,male,0.1452152923844909
18,female,0.1522649483483433
18,male,0.1452152923844909
19,female,0.1522649483483433
19,male,0.1452152923844909
20,female,0.15595437387052058
20,male,0.15816799014337976
21,female,0.15595437387052058
21,male,0.15816799014337976
22,female,0.15595437387052058
22,male,0.15816799014337976
23,female,0.15595437387052058
23,male,0.15816799014337976
24,female,0.15595437387052058
24,male,0.15816799014337976
25,female,0.10686026138184271
25,male,0.1043411049255493
26,female,0.10686026138184271
26,male,0.1043411049255493
27,female,0.10686026138184271
27,male,0.1043411049255493
28,female,0.10686026138184271
28,male,0.1043411049255493
29,female,0.10686026138184271
29,male,0.1043411049255493
30,female,0.1164447793585121
30,male,0.11892708284737225
31,female,0.1164447793585121
31,male,0.11892708284737225
32,female,0.1164447793585121
32,male,0.11892708284737225
33,female,0.1164447793585121
33,male,0.11892708284737225
34,female,0.1164447793585121
34,male,0.11892708284737225
35,female,0.1476617158812802
35,male,0.14211623970201612
36,female,0.1476617158812802
36,male,0.14211623970201612
37,female,0.1476617158812802
37,male,0.14211623970201612
38,female,0.1476617158812802
38,male,0.14211623970201612
39,female,0.1476617158812802
39,male,0.14211623970201612
40,female,0.12418419051582259
40,male,0.11112023400867246
41,female,0.12418419051582259
41,male,0.11112023400867246
42,female,0.12418419051582259
42,male,0.11112023400867246
