age,sex,incidence
43,female,0.12418419051582259
43,male,0.11112023400867246
44,female,0.12418419051582259
44,male,0.11112023400867246
45,female,0.08882926296104163
45,male,0.08110306755460901
46,female,0.08882926296104163
46,male,0.08110306755460901
47,female,0.08882926296104163
47,male,0.08110306755460901
48,female,0.08882926296104163
48,male,0.08110306755460901
49,female,0.08882926296104163
49,male,0.08110306755460901
50,female,0.09257943369303988
50,male,0.08709465269454583
51,female,0.09257943369303988
51,male,0.08709465269454583
52,female,0.09257943369303988
52,male,0.08709465269454583
53,female,0.09257943369303988
53,male,0.08709465269454583
54,female,0.09257943369303988
54,male,0.08709465269454583
55,female,0.1156286007001109
55,male,0.1016755470700042
56,female,0.1156286007001109
56,male,0.1016755470700042
57,female,0.1156286007001109
57,male,0.1016755470700042
58,female,0.1156286007001109
58,male,0.1016755470700042
59,female,0.1156286007001109
59,male,0.1016755470700042
60,female,0.0892644512865195
60,male,0.08288025078342455
61,female,0.0892644512865195
61,male,0.08288025078342455
62,female,0.0892644512865195
62,male,0.08288025078342455
63,female,0.0892644512865195
63,male,0.08288025078342455
64,female,0.0892644512865195
64,male,0.08288025078342455
65,female,0.07100727567128957
65,male,0.0678341751753267
66,female,0.07100727567128957
66,male,0.0678341751753267
67,female,0.07100727567128957
67,male,0.0678341751753267
68,female,0.07100727567128957
68,male,0.0678341751753267
69,female,0.07100727567128957
69,male,0.0678341751753267
70,female,0.07964023812981687
70,male,0.07436538985827734
71,female,0.07964023812981687
71,male,0.07436538985827734
72,female,0.07964023812981687
72,male,0.07436538985827734
73,female,0.07964023812981687
73,male,0.07436538985827734
74,female,0.07964023812981687
74,male,0.07436538985827734
75,female,0.08981650141079037
75,male,0.080444288064548
76,female,0.08981650141079037
76,male,0.080444288064548
77,female,0.08981650141079037
77,male,0.080444288064548
78,female,0.08981650141079037
78,male,0.080444288064548
79,female,0.08981650141079037
79,male,0.080444288064548
80,female,0.08981650141079037
80,male,0.080444288064548
81,female,0.08981650141079037
81,male,0.080444288064548
82,female,0.08981650141079037
82,male,0.080444288064548
83,female,0.08981650141079037
83,male,0.080444288064548
84,female,0.08981650141079037
84,male,0.080444288064548
85,female,0.08981650141079037
85,male,0.080444288064548
86,female,0.08981650141079037
86,male,0.080444288064548
87,female,0.08981650141079037
87,male,0.080444288064548
88,female,0.08981650141079037
88,male,0.080444288064548
89,female,0.08981650141079037
89,male,0.080444288064548
90,female,0.08981650141079037
90,male,0.080444288064548
91,female,0.08981650141079037
91,male,0.080444288064548
92,female,0.08981650141079037
92,male,0.080444288064548
93,female,0.08981650141079037
93,male,0.080444288064548
94,female,0.08981650141079037
94,male,0.080444288064548
95,female,0.09920703772487979
95,male,0.08412032385347173
96,female,0.09920703772487979
96,male,0.08412032385347173
97,female,0.09920703772487979
97,male,0.08412032385347173
98,female,0.09920703772487979
98,male,0.08412032385347173
99,female,0.09920703772487979
99,male,0.08412032385347173
100,female,0.09920703772487979
100,male,0.08412032385347173
101,female,0.09920703772487979
101,male,0.08412032385347173
102,female,0.09920703772487979
102,male,0.08412032385347173
103,female,0.09920703772487979
103,male,0.08412032385347173
104,female,0.09920703772487979
104,male,0.08412032385347173
105,female,0.09920703772487979
105,male,0.08412032385347173
106,female,0.09920703772487979
106,male,0.08412032385347173
107,female,0.09920703772487979
107,male,0.08412032385347173
108,female,0.09920703772487979
108,male,0.08412032385347173
109,female,0.09920703772487979
109,male,0.08412032385347173
