age,sex,i,prev,f
0,female,0.2301616707681829,0.045308713776074226,0.2227483148555016
0,male,0.2402897627641814,0.04889910333142769,0.24213829455165145
1,female,0.20746163446938357,0.24324407904474085,0.35412019975548914
1,male,0.2130803842291317,0.25240867379551546,0.3038944611323568
2,female,0.20746163446938357,0.23108102820713072,0.35412019975548914
2,male,0.2130803842291317,0.23981337435154698,0.3038944611323568
3,female,0.20746163446938357,0.1479903396775985,0.35412019975548914
3,male,0.2130803842291317,0.15352578815711562,0.3038944611323568
4,female,0.20746163446938357,0.12017278365823564,0.35412019975548914
4,male,0.2130803842291317,0.12461218743235139,0.3038944611323568
5,female,0.1586728115489313,0.21848159405006679,0.3264442443464832
5,male,0.16780032412239246,0.22759221622671352,0.3018006536368218
6,female,0.1586728115489313,0.18863451977491383,0.3264442443464832
6,male,0.16780032412239246,0.19645704998046679,0.3018006536368218
7,female,0.1586728115489313,0.16596219377830945,0.3264442443464832
7,male,0.16780032412239246,0.17281547461676017,0.3018006536368218
8,female,0.1586728115489313,0.14624755442362006,0.3264442443464832
8,male,0.16780032412239246,0.15209817295592773,0.3018006536368218
9,female,0.1586728115489313,0.1307194040167057,0.3264442443464832
9,male,0.16780032412239246,0.13581636378750178,0.3018006536368218
10,female,0.2100610015463956,0.18033130843323494,0.3486085725815238
10,male,0.20955923522309972,0.19153356895253035,0.3165368439697451
11,female,0.2100610015463956,0.1645380157455087,0.3486085725815238
11,male,0.20955923522309972,0.17464586848561514,0.3165368439697451
12,female,0.2100610015463956,0.15128829069280006,0.3486085725815238
12,male,0.20955923522309972,0.16049487937119875,0.3165368439697451
13,female,0.2100610015463956,0.13840568217328772,0.3486085725815238
13,male,0.20955923522309972,0.14658128882542973,0.3165368439697451
14,female,0.2100610015463956,0.12754488876307052,0.3486085725815238
14,male,0.20955923522309972,0.13488763635911688,0.3165368439697451
15,female,0.24079225039495453,0.16196085491286122,0.3200645871097703
15,male,0.24346857623863297,0.16649319346873848,0.29670470296620466
16,female,0.24079225039495453,0.150975696689625,0.3200645871097703
16,male,0.24346857623863297,0.15503864472310155,0.29670470296620466
17,female,0.24079225039495453,0.1413860456423139,0.3200645871097703
17,male,0.24346857623863297,0.1450587613520678,0.29670470296620466
18,female,0.24079225039495453,0.12877039160316375,0.3200645871097703
18,male,0.24346857623863297,0.13178884029313506,0.29670470296620466
19,female,0.24079225039495453,0.1182216592559783,0.3200645871097703
19,male,0.24346857623863297,0.12074328947753196,0.29670470296620466
20,female,0.24166621821286208,0.17149508674755345,0.31007857825761165
20,male,0.2325184649142107,0.16660736529830605,0.30677881010230296
21,female,0.24166621821286208,0.15942408090514154,0.31007857825761165
21,male,0.2325184649142107,0.15464823601451022,0.30677881010230296
22,female,0.24166621821286208,0.14894061424266974,0.31007857825761165
22,male,0.2325184649142107,0.144290983651256,0.30677881010230296
23,female,0.24166621821286208,0.13782253356434224,0.31007857825761165
23,male,0.2325184649142107,0.13328745879174686,0.30677881010230296
24,female,0.24166621821286208,0.12824903274193336,0.31007857825761165
24,male,0.2325184649142107,0.12384326221106662,0.30677881010230296
25,female,0.1968552848312274,0.1543276810141646,0.28727711411387746
25,male,0.19989665542598953,0.1535619749263395,0.27840457708858357
26,female,0.1968552848312274,0.14491530568196484,0.28727711411387746
26,male,0.19989665542598953,0.14403175406732754,0.27840457708858357
27,female,0.1968552848312274,0.13658504564117308,0.28727711411387746
27,male,0.19989665542598953,0.135615321752075,0.27840457708858357
28,female,0.1968552848312274,0.12831203545853354,0.28727711411387746
28,male,0.19989665542598953,0.12724817170461103,0.27840457708858357
29,female,0.1968552848312274,0.1209839875300513,0.28727711411387746
29,male,0.19989665542598953,0.11985349002835614,0.27840457708858357
30,female,0.18094847503310701,0.14062154883791708,0.27900919248400097
30,male,0.17578814526929623,0.13249560578677536,0.25406541060907695
31,female,0.18094847503310701,0.133413778545476,0.27900919248400097
31,male,0.17578814526929623,0.12559769089475742,0.25406541060907695
32,female,0.18094847503310701,0.1269088722436742,0.27900919248400097
32,male,0.17578814526929623,0.1193824652644218,0.25406541060907695
33,female,0.18094847503310701,0.1206057319697823,0.27900919248400097
33,male,0.17578814526929623,0.11335940091424788,0.25406541060907695
34,female,0.18094847503310701,0.1148990781022049,0.27900919248400097
34,male,0.17578814526929623,0.10791489644540844,0.25406541060907695
35,female,0.11310749352814992,0.12207299033439256,0.24370205655451188
35,male,0.10596945961188402,0.1186549156165691,0.23996025944403485
36,female,0.11310749352814992,0.11679626431081687,0.24370205655451188
36,male,0.10596945961188402,0.11345551532570083,0.23996025944403485
37,female,0.11310749352814992,0.11195681978773059,0.24370205655451188
37,male,0.10596945961188402,0.10869265635657197,0.23996025944403485
38,female,0.11310749352814992,0.10343366748869925,0.24370205655451188
38,male,0.10596945961188402,0.10036366630645063,0.23996025944403485
39,female,0.11310749352814992,0.0961164272405135,0.24370205655451188
39,male,0.10596945961188402,0.09322030434113553,0.23996025944403485
40,female,0.19575566020045027,0.09079819557333522,0.1822451365523472
40,male,0.19185381288207765,0.08567879940492484,0.1879378300007859
41,female,0.19575566020045027,0.0851710029523765,0.1822451365523472
41,male,0.19185381288207765,0.0803405299438493,0.1879378300007859
42,female,0.19575566020045027,0.08020059372397347,0.1822451365523472
42,male,0.19185381288207765,0.07562845337591134,0.1879378300007859
43,female,0.19575566020045027,0.06824471954778392,0.1822451365523472
43,male,0.19185381288207765,0.0645047609411067,0.1879378300007859
44,female,0.19575566020045027,0.05939102431950572,0.1822451365523472
44,male,0.19185381288207765,0.05623371341157299,0.1879378300007859
45,female,0.11107294436778198,0.10450246116454445,0.16184619328586336
45,male,0.12123637304727773,0.10890761417844352,0.16170639174811616
46,female,0.11107294436778198,0.09373794425263693,0.16184619328586336
46,male,0.12123637304727773,0.0977933020674828,0.16170639174811616
47,female,0.11107294436778198,0.08498397409541032,0.16184619328586336
47,male,0.12123637304727773,0.08873741273840594,0.16170639174811616
48,female,0.11107294436778198,0.07426717567857626,0.16184619328586336
48,male,0.12123637304727773,0.07800720359169498,0.16170639174811616
49,female,0.11107294436778198,0.06595056203125098,0.16184619328586336
49,male,0.12123637304727773,0.06959206715206334,0.16170639174811616
50,female,0.10271733066053752,0.0813506172948096,0.13637466447157254
50,male,0.11102385542770135,0.08348195701776526,0.13862521707154363
51,female,0.10271733066053752,0.07390772780386179,0.13637466447157254
51,male,0.11102385542770135,0.07607442062294051,0.13862521707154363
52,female,0.10271733066053752,0.06771260081221754,0.13637466447157254
52,male,0.11102385542770135,0.06987431961762916,0.13862521707154363
53,female,0.10271733066053752,0.06219413592806318,0.13637466447157254
53,male,0.11102385542770135,0.06425655341432694,0.13862521707154363
54,female,0.10271733066053752,0.057507379674339006,0.13637466447157254
54,male,0.11102385542770135,0.0594748827241312,0.13862521707154363
55,female,0.10479347724461534,0.06151848088050764,0.14036464777849916
55,male,0.10159613724169278,0.06818709328773834,0.1311751000529701
56,female,0.10479347724461534,0.057489815257294956,0.14036464777849916
56,male,0.10159613724169278,0.06377028632356817,0.1311751000529701
57,female,0.10479347724461534,0.053956370175917104,0.14036464777849916
57,male,0.10159613724169278,0.05989086602019876,0.1311751000529701
58,female,0.10479347724461534,0.0502728609877853,0.14036464777849916
58,male,0.10159613724169278,0.05565669276044368,0.1311751000529701
59,female,0.10479347724461534,0.04706014528807693,0.14036464777849916
59,male,0.10159613724169278,0.05198168401411228,0.1311751000529701
60,female,0.14383643302347865,0.04975768807287366,0.12652628822198195
60,male,0.13758080951754367,0.05329084031101059,0.12468257223576255
61,female,0.14383643302347865,0.04693825032753162,0.12652628822198195
61,male,0.13758080951754367,0.05018253163316373,0.12468257223576255
62,female,0.14383643302347865,0.04442119614067257,0.12652628822198195
62,male,0.13758080951754367,0.04741683744542866,0.12468257223576255
63,female,0.14383643302347865,0.04075953925968363,0.12652628822198195
63,male,0.13758080951754367,0.04324233134676183,0.12468257223576255
64,female,0.14383643302347865,0.037655575205618026,0.12652628822198195
64,male,0.13758080951754367,0.039743384362112326,0.12468257223576255
65,female,0.1269316572217611,0.057203037935141275,0.12362811220200569
65,male,0.12010132866676716,0.05896175529902296,0.11870727708612736
66,female,0.1269316572217611,0.05342263027245979,0.12362811220200569
66,male,0.12010132866676716,0.054855403175494435,0.11870727708612736
67,female,0.1269316572217611,0.050110922990872254,0.12362811220200569
67,male,0.12010132866676716,0.051283778617181516,0.11870727708612736
68,female,0.1269316572217611,0.04615923802977468,0.12362811220200569
68,male,0.12010132866676716,0.04679373461902345,0.11870727708612736
69,female,0.1269316572217611,0.04278524676949295,0.12362811220200569
69,male,0.12010132866676716,0.0430266281625303,0.11870727708612736
70,female,0.13691668540834967,0.05918545188573452,0.13906083863971985
70,male,0.12161579114789989,0.06112185108470867,0.11423712897744434
71,female,0.13691668540834967,0.055411086207078304,0.13906083863971985
71,male,0.12161579114789989,0.056883654533691284,0.11423712897744434
72,female,0.13691668540834967,0.05208925793489237,0.13906083863971985
72,male,0.12161579114789989,0.05319509987109987,0.11423712897744434
73,female,0.13691668540834967,0.04874640318049337,0.13906083863971985
73,male,0.12161579114789989,0.04919043655181208,0.11423712897744434
74,female,0.13691668540834967,0.04580673269481034,0.13906083863971985
74,male,0.12161579114789989,0.04574652129882203,0.11423712897744434
75,female,0.1579817323991733,0.06160819260008334,0.1660636698594669
75,male,0.10170081049610179,0.05796076361401181,0.11666180722118989
76,female,0.1579817323991733,0.058292763432486835,0.1660636698594669
76,male,0.10170081049610179,0.05440123924997372,0.11666180722118989
77,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
77,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
78,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
78,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
79,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
79,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
80,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
80,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
81,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
81,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
82,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
82,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
83,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
83,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
84,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
84,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
85,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
85,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
86,female,0.1579817323991733,0.05531594971073477,0.1660636698594669
86,male,0.10170081049610179,0.051253618474641244,0.11666180722118989
