agecategory,strata,mild,severe
0,SES1,0.0086,0.0079
0,SES2,0.008,0.0072
0,SES3,0.0084,0.0072
0,SES4,0.0078,0.0067
0,SES5,0.0085,0.0067
18,SES1,0.0094,0.0082
18,SES2,0.0085,0.0072
18,SES3,0.0092,0.0073
18,SES4,0.0085,0.0068
18,SES5,0.0093,0.0066
30,SES1,0.0086,0.0079
30,SES2,0.008,0.0072
30,SES3,0.0084,0.0072
30,SES4,0.0078,0.0067
30,SES5,0.0085,0.0067
50,SES1,0.0089,0.0081
50,SES2,0.0084,0.0073
50,SES3,0.0089,0.0072
50,SES4,0.0084,0.0069
50,SES5,0.0095,0.0068
65,SES1,0.0108,0.0113
65,SES2,0.0096,0.0098
65,SES3,0.0103,0.0095
65,SES4,0.0096,0.009
65,SES5,0.0112,0.0089
